YEAR_PATH_STARTED,REGION,AGE_GROUP,GENDER,PATH_CATEGORY_NAME,POPULATION,STUDENT_COUNT,STUDENTS_PER_100K_INHABITANTS
2024,Île-de-France,55-59 ans,M,Data,12450849,2,0.02
2023,Occitanie,35-39 ans,NON_RENSEIGNE,Data,6201587,2,0.03
2023,Bretagne,50-54 ans,M,Data,3475895,1,0.03
2022,Bourgogne-Franche-Comté,50-54 ans,M,Data,2793080,3,0.11
2022,Auvergne-Rhône-Alpes,40-44 ans,F,Data,8260096,5,0.06
2022,Pays de la Loire,30-34 ans,F,Data,3936719,1,0.03
2024,Centre-Val de Loire,45-49 ans,M,Data,2581479,1,0.04
2022,DROM,30-34 ans,M,Data,2253657,3,0.13
2025,Normandie,30-34 ans,M,Data,3341312,4,0.12
2024,Centre-Val de Loire,25-29 ans,F,Data,2581479,1,0.04
2022,Île-de-France,50-54 ans,F,Data,12450849,4,0.03
2023,Normandie,20-24 ans,F,Data,3341312,1,0.03
2024,Normandie,45-49 ans,NON_RENSEIGNE,Data,3341312,1,0.03
2025,Auvergne-Rhône-Alpes,50-54 ans,M,Data,8260096,1,0.01
2022,Bretagne,45-49 ans,NON_RENSEIGNE,Data,3475895,3,0.09
2025,Hauts-de-France,50-54 ans,NON_RENSEIGNE,Data,5973933,1,0.02
2023,Pays de la Loire,50-54 ans,F,Data,3936719,1,0.03
2025,Hauts-de-France,40-44 ans,F,Data,5973933,2,0.03
2023,Provence-Alpes-Côte d'Azur,50-54 ans,M,Data,5241587,1,0.02
2025,Auvergne-Rhône-Alpes,50-54 ans,F,Data,8260096,2,0.02
2023,Grand Est,50-54 ans,M,Data,5544051,1,0.02
2023,Pays de la Loire,40-44 ans,F,Data,3936719,1,0.03
2024,Provence-Alpes-Côte d'Azur,50-54 ans,F,Data,5241587,1,0.02
2023,Normandie,40-44 ans,M,Data,3341312,2,0.06
2025,Bourgogne-Franche-Comté,25-29 ans,M,Data,2793080,2,0.07
2023,Centre-Val de Loire,45-49 ans,M,Data,2581479,2,0.08
2025,Provence-Alpes-Côte d'Azur,25-29 ans,F,Data,5241587,3,0.06
2025,Île-de-France,50-54 ans,F,Data,12450849,6,0.05
2025,Grand Est,40-44 ans,M,Data,5544051,2,0.04
2024,Grand Est,40-44 ans,M,Data,5544051,3,0.05
2024,Auvergne-Rhône-Alpes,50-54 ans,NON_RENSEIGNE,Data,8260096,1,0.01
2023,Auvergne-Rhône-Alpes,40-44 ans,NON_RENSEIGNE,Data,8260096,7,0.08
2023,Auvergne-Rhône-Alpes,40-44 ans,F,Data,8260096,2,0.02
2024,Bretagne,25-29 ans,M,Data,3475895,3,0.09
2025,Nouvelle-Aquitaine,60 ans ou plus,NON_RENSEIGNE,Data,6191209,1,0.02
2024,Auvergne-Rhône-Alpes,60 ans ou plus,M,Data,8260096,2,0.02
2023,Hauts-de-France,45-49 ans,F,Data,5973933,1,0.02
2025,DROM,35-39 ans,M,Data,2253657,2,0.09
2025,Provence-Alpes-Côte d'Azur,45-49 ans,NON_RENSEIGNE,Data,5241587,1,0.02
2022,Occitanie,30-34 ans,F,Data,6201587,5,0.08
2023,Provence-Alpes-Côte d'Azur,50-54 ans,F,Data,5241587,1,0.02
2025,Pays de la Loire,45-49 ans,M,Data,3936719,3,0.08
2025,Auvergne-Rhône-Alpes,45-49 ans,F,Data,8260096,1,0.01
2022,Nouvelle-Aquitaine,20-24 ans,NON_RENSEIGNE,Data,6191209,1,0.02
2022,Provence-Alpes-Côte d'Azur,35-39 ans,F,Data,5241587,1,0.02
2024,Auvergne-Rhône-Alpes,20-24 ans,NON_RENSEIGNE,Data,8260096,1,0.01
2025,Auvergne-Rhône-Alpes,20-24 ans,NON_RENSEIGNE,Data,8260096,1,0.01
2022,Occitanie,50-54 ans,NON_RENSEIGNE,Data,6201587,1,0.02
2022,Île-de-France,30-34 ans,M,Data,12450849,69,0.55
2023,Pays de la Loire,35-39 ans,NON_RENSEIGNE,Data,3936719,6,0.15
2023,Nouvelle-Aquitaine,30-34 ans,M,Data,6191209,9,0.15
2022,Auvergne-Rhône-Alpes,40-44 ans,M,Data,8260096,7,0.08
2023,Île-de-France,25-29 ans,NON_RENSEIGNE,Data,12450849,47,0.38
2023,Île-de-France,35-39 ans,M,Data,12450849,46,0.37
2024,Île-de-France,45-49 ans,F,Data,12450849,10,0.08
2024,Île-de-France,45-49 ans,M,Data,12450849,16,0.13
2025,Centre-Val de Loire,25-29 ans,M,Data,2581479,6,0.23
2022,Nouvelle-Aquitaine,40-44 ans,M,Data,6191209,7,0.11
2023,Normandie,35-39 ans,M,Data,3341312,1,0.03
2024,Centre-Val de Loire,35-39 ans,M,Data,2581479,6,0.23
2022,Centre-Val de Loire,30-34 ans,NON_RENSEIGNE,Data,2581479,5,0.19
2023,Bretagne,30-34 ans,F,Data,3475895,2,0.06
2025,Provence-Alpes-Côte d'Azur,20-24 ans,M,Data,5241587,4,0.08
2024,Île-de-France,30-34 ans,M,Data,12450849,39,0.31
2024,Bourgogne-Franche-Comté,40-44 ans,F,Data,2793080,1,0.04
2025,Provence-Alpes-Côte d'Azur,50-54 ans,F,Data,5241587,2,0.04
2024,Occitanie,25-29 ans,M,Data,6201587,7,0.11
2023,Occitanie,40-44 ans,F,Data,6201587,1,0.02
2024,Auvergne-Rhône-Alpes,30-34 ans,M,Data,8260096,12,0.15
2023,Provence-Alpes-Côte d'Azur,25-29 ans,M,Data,5241587,7,0.13
2023,Pays de la Loire,45-49 ans,M,Data,3936719,3,0.08
2023,Nouvelle-Aquitaine,45-49 ans,NON_RENSEIGNE,Data,6191209,1,0.02
2023,Centre-Val de Loire,30-34 ans,NON_RENSEIGNE,Data,2581479,2,0.08
2022,Hauts-de-France,50-54 ans,M,Data,5973933,6,0.10
2024,Nouvelle-Aquitaine,40-44 ans,M,Data,6191209,3,0.05
2022,Bourgogne-Franche-Comté,45-49 ans,M,Data,2793080,2,0.07
2025,Île-de-France,35-39 ans,F,Data,12450849,35,0.28
2022,Nouvelle-Aquitaine,60 ans ou plus,NON_RENSEIGNE,Data,6191209,2,0.03
2025,Grand Est,30-34 ans,M,Data,5544051,6,0.11
2025,Île-de-France,50-54 ans,NON_RENSEIGNE,Data,12450849,4,0.03
2023,Île-de-France,30-34 ans,F,Data,12450849,52,0.42
2025,Bretagne,30-34 ans,M,Data,3475895,4,0.12
2022,Nouvelle-Aquitaine,25-29 ans,NON_RENSEIGNE,Data,6191209,10,0.16
2022,Occitanie,25-29 ans,NON_RENSEIGNE,Data,6201587,5,0.08
2022,Nouvelle-Aquitaine,45-49 ans,NON_RENSEIGNE,Data,6191209,6,0.10
2022,Auvergne-Rhône-Alpes,25-29 ans,NON_RENSEIGNE,Data,8260096,11,0.13
2023,Nouvelle-Aquitaine,25-29 ans,NON_RENSEIGNE,Data,6191209,3,0.05
2023,Bourgogne-Franche-Comté,25-29 ans,M,Data,2793080,4,0.14
2024,Auvergne-Rhône-Alpes,25-29 ans,F,Data,8260096,9,0.11
2023,Occitanie,45-49 ans,M,Data,6201587,3,0.05
2025,Centre-Val de Loire,35-39 ans,F,Data,2581479,1,0.04
2024,Nouvelle-Aquitaine,25-29 ans,F,Data,6191209,3,0.05
2022,Auvergne-Rhône-Alpes,30-34 ans,F,Data,8260096,9,0.11
2022,Auvergne-Rhône-Alpes,20-24 ans,M,Data,8260096,1,0.01
2022,Bourgogne-Franche-Comté,30-34 ans,M,Data,2793080,6,0.21
2024,Nouvelle-Aquitaine,50-54 ans,F,Data,6191209,2,0.03
2022,Auvergne-Rhône-Alpes,45-49 ans,NON_RENSEIGNE,Data,8260096,6,0.07
2022,Hauts-de-France,50-54 ans,NON_RENSEIGNE,Data,5973933,4,0.07
2022,DROM,40-44 ans,NON_RENSEIGNE,Data,2253657,1,0.04
2024,Bretagne,35-39 ans,M,Data,3475895,2,0.06
2023,Hauts-de-France,50-54 ans,F,Data,5973933,2,0.03
2025,Provence-Alpes-Côte d'Azur,50-54 ans,M,Data,5241587,3,0.06
2023,Occitanie,40-44 ans,M,Data,6201587,4,0.06
2024,Bretagne,30-34 ans,M,Data,3475895,4,0.12
2025,Nouvelle-Aquitaine,30-34 ans,M,Data,6191209,7,0.11
2023,Centre-Val de Loire,35-39 ans,F,Data,2581479,1,0.04
